time, A, B ,C, A, B, C
2019-09-15 12:40:07, 2.028, 1.986, 2.261, 234.75, 230.41, 228.37
2019-09-15 12:39:52, 1.912, 1.855, 1.934, 230.46, 232.54, 232.33
2019-09-15 12:39:37, 1.612, 1.585, 1.671, 231.13, 232.48, 232.98
2019-09-15 12:39:22, 2.076, 2.039, 2.102, 229.2, 231.98, 232.4
2019-09-15 12:39:07, 1.777, 1.814, 1.778, 229.15, 232.17, 234.41
2019-09-15 12:38:52, 1.737, 1.603, 1.72, 230.86, 234.45, 231.68
2019-09-15 12:38:37, 1.755, 1.645, 1.771, 230.9, 233.81, 231.81
2019-09-15 12:38:22, 1.567, 1.568, 1.695, 232.37, 231.78, 233.03
2019-09-15 12:38:07, 1.649, 1.647, 1.774, 231.96, 231.1, 232.8
2019-09-15 12:37:52, 1.59, 1.624, 1.756, 232.89, 230.19, 233.2
2019-09-15 12:37:37, 1.601, 1.65, 1.762, 232.75, 229.61, 233.5
2019-09-15 12:37:22, 1.596, 1.622, 1.732, 232.34, 231.82, 233.53
2019-09-15 12:37:07, 1.718, 1.633, 1.809, 231.64, 232.46, 232.46
2019-09-15 12:36:52, 1.687, 1.641, 1.776, 232.16, 232.15, 231.9
2019-09-15 12:36:37, 1.665, 1.664, 1.707, 230.77, 232.08, 233.42
2019-09-15 12:36:22, 1.661, 1.682, 1.749, 231.85, 231.63, 234.08
2019-09-15 12:36:07, 1.562, 1.598, 1.751, 233.52, 231.06, 233.11
2019-09-15 12:35:52, 1.548, 1.397, 1.616, 233.22, 233.92, 230.63
2019-09-15 12:35:37, 1.645, 1.638, 1.615, 229.56, 233.28, 234.36
2019-09-15 12:35:22, 1.85, 1.834, 1.83, 229.27, 233.5, 233.17
2019-09-15 12:35:07, 1.82, 1.777, 1.778, 229.44, 233.24, 233.0
2019-09-15 12:34:52, 1.821, 1.751, 1.761, 229.19, 232.94, 232.56
2019-09-15 12:34:37, 1.579, 1.651, 1.628, 230.55, 231.0, 235.41
2019-09-15 12:34:22, 1.645, 1.653, 1.658, 230.59, 233.13, 234.16
2019-09-15 12:34:07, 1.723, 1.81, 1.818, 231.13, 231.28, 235.09
2019-09-15 12:33:52, 1.676, 1.696, 1.703, 230.65, 232.33, 234.5
2019-09-15 12:33:37, 1.685, 1.624, 1.627, 229.78, 234.68, 234.09
2019-09-15 12:33:07, 1.964, 1.866, 1.884, 229.31, 233.9, 232.74
2019-09-15 12:32:52, 1.606, 1.499, 1.651, 232.79, 233.75, 231.87
2019-09-15 12:32:37, 1.72, 1.66, 1.771, 231.62, 233.0, 232.85
2019-09-15 12:47:07, 2.107, 2.216, 2.166, 229.93, 230.12, 234.62
2019-09-15 12:46:52, 2.125, 2.046, 2.119, 229.51, 233.19, 231.39
2019-09-15 12:46:37, 2.278, 2.289, 2.241, 227.3, 232.08, 233.01
2019-09-15 12:46:22, 2.143, 2.146, 2.099, 227.57, 232.53, 233.64
2019-09-15 12:46:07, 1.961, 2.038, 2.006, 228.88, 231.14, 234.46
2019-09-15 12:45:52, 2.245, 2.444, 2.332, 227.55, 228.63, 235.62
2019-09-15 12:45:37, 2.04, 2.14, 2.087, 228.72, 229.66, 234.76
2019-09-15 12:45:22, 2.21, 2.35, 2.246, 228.58, 229.6, 234.98
2019-09-15 12:45:07, 2.058, 2.113, 2.092, 229.04, 230.44, 234.16
2019-09-15 12:44:52, 2.35, 2.347, 2.327, 228.34, 232.75, 232.08
2019-09-15 12:32:22, 1.652, 1.643, 1.685, 231.42, 232.7, 233.64
2019-09-15 12:32:07, 1.695, 1.659, 1.733, 231.65, 233.14, 232.6
2019-09-15 12:31:52, 1.738, 1.601, 1.767, 231.96, 233.04, 231.0
2019-09-15 12:31:37, 1.764, 1.761, 1.731, 229.42, 233.29, 233.98
2019-09-15 12:31:22, 1.75, 1.685, 1.703, 230.46, 234.15, 233.1
2019-09-15 12:31:07, 1.812, 1.752, 1.752, 229.81, 234.09, 232.8
2019-09-15 12:30:52, 1.714, 1.625, 1.643, 229.93, 234.46, 233.01
2019-09-15 12:30:37, 1.541, 1.456, 1.527, 231.2, 234.37, 233.42
2019-09-15 12:30:22, 1.668, 1.603, 1.616, 230.18, 234.25, 233.68
2019-09-15 12:48:22, 1.818, 1.765, 1.791, 229.63, 233.23, 232.15
2019-09-15 12:48:07, 2.046, 2.04, 2.007, 229.06, 232.95, 232.68
2019-09-15 12:47:52, 2.327, 2.288, 2.306, 228.69, 232.2, 232.13
2019-09-15 12:47:37, 2.097, 2.029, 2.053, 229.24, 233.31, 232.1
2019-09-15 12:47:22, 2.171, 2.247, 2.266, 229.71, 230.5, 233.79
2019-09-15 12:48:37, 1.928, 1.939, 1.989, 230.62, 231.39, 232.55
2019-09-15 12:48:52, 1.889, 1.955, 1.96, 230.28, 230.41, 233.62
2019-09-15 12:49:07, 1.858, 1.898, 1.948, 231.01, 230.67, 232.74
2019-09-15 12:49:22, 1.878, 1.915, 1.934, 230.2, 229.92, 232.82
2019-09-15 12:49:37, 1.774, 1.794, 1.835, 230.75, 230.01, 232.68
2019-09-15 12:49:52, 1.752, 1.766, 1.815, 230.92, 231.5, 232.89
2019-09-15 12:50:07, 1.933, 2.082, 2.105, 231.09, 228.1, 233.8
2019-09-15 12:50:22, 1.889, 2.048, 2.083, 231.39, 227.77, 233.92
2019-09-15 12:50:37, 1.912, 2.066, 2.105, 231.36, 228.13, 233.65
2019-09-15 12:50:52, 2.089, 2.158, 2.189, 230.44, 229.06, 232.69
2019-09-15 12:51:07, 1.802, 2.05, 1.986, 231.65, 227.57, 236.84
2019-09-15 12:51:22, 1.833, 2.036, 2.04, 232.18, 228.28, 235.61
2019-09-15 12:51:37, 1.846, 1.84, 1.9, 231.42, 232.12, 232.92
2019-09-15 12:51:52, 1.879, 2.035, 2.082, 232.56, 228.86, 234.3
2019-09-15 12:52:07, 1.994, 2.017, 2.051, 231.41, 231.17, 233.56
2019-09-15 12:52:22, 1.923, 1.983, 1.969, 231.35, 231.0, 233.59
2019-09-15 12:52:37, 1.734, 1.816, 1.893, 233.22, 229.9, 234.4
2019-09-15 12:52:52, 1.855, 1.99, 2.103, 233.9, 228.59, 233.58
2019-09-15 12:53:07, 1.967, 2.094, 2.16, 232.77, 229.14, 233.72
2019-09-15 12:53:22, 1.911, 2.059, 2.053, 231.52, 229.55, 234.18
2019-09-15 12:53:37, 1.685, 1.649, 1.801, 234.0, 231.13, 232.11
2019-09-15 12:53:52, 2.035, 2.045, 2.041, 230.45, 231.63, 233.63
2019-09-15 12:54:07, 1.897, 1.766, 1.877, 231.97, 233.57, 231.57
2019-09-15 12:54:22, 1.819, 1.959, 1.933, 230.98, 229.8, 235.11
2019-09-15 12:54:37, 1.773, 1.804, 1.835, 231.57, 231.32, 233.19
2019-09-15 12:54:52, 1.92, 1.993, 2.003, 231.25, 230.88, 233.86
2019-09-15 12:55:07, 1.827, 1.804, 1.902, 232.23, 231.97, 232.29
2019-09-15 12:55:22, 1.924, 1.929, 1.947, 230.67, 231.32, 233.03
2019-09-15 12:55:37, 1.821, 1.694, 1.748, 230.48, 234.12, 231.17
2019-09-15 12:55:52, 2.031, 2.072, 2.1, 230.56, 230.63, 231.44
2019-09-15 12:56:07, 1.837, 1.823, 1.884, 231.19, 231.56, 232.14
2019-09-15 12:56:22, 1.97, 2.048, 2.023, 229.97, 231.16, 233.65
2019-09-15 12:56:37, 1.846, 1.806, 1.901, 232.09, 231.6, 231.81
2019-09-15 12:56:52, 1.901, 1.916, 1.963, 231.53, 230.84, 232.37
2019-09-15 12:57:07, 1.699, 1.629, 1.713, 232.3, 232.48, 231.73
2019-09-15 12:57:22, 2.14, 2.054, 2.05, 228.81, 234.53, 231.34
2019-09-15 12:57:37, 1.946, 1.796, 1.915, 230.73, 233.6, 229.88
2019-09-15 12:57:52, 2.118, 2.089, 2.167, 230.73, 231.16, 230.64
2019-09-15 12:58:07, 1.789, 1.733, 1.845, 232.2, 232.33, 232.25
2019-09-15 12:58:22, 2.025, 2.074, 2.057, 229.98, 230.9, 233.46
2019-09-15 12:58:37, 2.38, 2.225, 2.276, 229.47, 234.06, 229.97
2019-09-15 12:58:52, 1.88, 1.864, 1.801, 228.99, 233.04, 232.89
2019-09-15 12:59:07, 1.903, 1.771, 1.855, 230.12, 234.27, 231.18
2019-09-15 12:59:22, 2.061, 2.012, 2.042, 229.62, 233.17, 232.58
2019-09-15 12:59:37, 2.195, 2.107, 2.199, 230.72, 231.87, 231.06
2019-09-15 12:59:52, 2.31, 2.308, 2.362, 230.42, 231.07, 231.75
